# Generated by scripts/snapshot-opening-popularity.mjs
# source=https://chess-analysis.org/api/explore/lichess
# snapshot=2026-08-06T18:32:36.169Z
# variant=standard; speeds=blitz,rapid,classical; ratings=1200,1400,1600,1800,2000,2200,2500
# measuredParentDepth=4; deeper lines use documented 0.82-per-ply decay
uci	globalGames	globalShare
c2c4 g8f6 b1c3 d7d5 c4d5 f6d5 g2g3 g7g6 f1g2 d5c3	305505	0.26283324
c2c4 g8f6 b1c3 e7e6	3943870	0.26277863
c2c4 g8f6 b1c3 e7e6 g1f3 f8b4	585648	0.11348885
c2c4 g8f6 b1c3 g7g6 g1f3 f8g7 e2e4	467162	0.08603383
c2c4 g8f6 b2b4	53804	0.00212782
c2c4 g8f6 d2d4 c7c5 g1f3	1242969	0.11760583
c2c4 g8f6 e2e4	32309	0.00127774
c2c4 g8f6 g1f3	1351380	0.05344388
c2c4 g8f6 g1f3 b7b6	156694	0.02602095
c2c4 g8f6 g1f3 c7c5 b1c3 b8c6	24600	0.35142857
c2c4 g8f6 g1f3 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7	11122	0.15888571
c2c4 g8f6 g1f3 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 e1g1 e8g8 d2d4	6132	0.08760000
c2c4 g8f6 g1f3 c7c6 b2b3 d7d5 c1b2 c8g4	14442	0.03689671
c2c4 g8f6 g1f3 d7d5	319500	0.05305686
c2c4 g8f6 g1f3 d7d5 c4d5 f6d5	451346	0.42502145
c2c4 g8f6 g1f3 d7d6	363859	0.06042322
c2c4 g8f6 g1f3 e7e6 g2g3 a7a6 f1g2 b7b5	347053	0.20781505
c2c4 g8f6 g1f3 g7g6	2344380	0.38931284
c2c4 g8f6 g1f3 g7g6 b2b4	87158	0.03688155
c2c4 g8f6 g1f3 g7g6 g2g3 b7b6 f1g2 c8b7	306997	0.12990804
c2c4 g8f6 g1f3 g7g6 g2g3 c7c6	456569	0.19320054
c2c4 g8f6 g1f3 g7g6 g2g3 d7d5	456569	0.19320054
c2c4 g8f6 g1f3 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 c7c5 b1c3 b8c6 d2d3	113816	0.04816208
c2c4 g8f6 g2g3 c7c6 g1f3 d7d5 b2b3	14370	0.03911055
c2c4 g8f6 g2g3 c7c6 g1f3 d7d5 b2b3 c8f5	11783	0.03206957
c2c4 g8f6 g2g3 c7c6 g1f3 d7d5 b2b3 c8g4	11783	0.03206957
c2c4 g8f6 g2g3 c7c6 g1f3 d7d5 b2b3 d5c4	11783	0.03206957
d2d3	20870971	0.00488600
d2d3 c7c5 b1c3 b8c6 g2g3	2540	0.07679981
d2d3 e7e5	5395034	0.25922686
d2d3 e7e5 b1d2	280065	0.05212708
d2d3 g7g6 g2g4	0	0.00000000
d2d4	1074733532	0.25160053
d2d4 b7b5	0	0.00000000
d2d4 b7b5 e2e4 c8b7 f1b5	50350	0.10525700
d2d4 b7b6	18397399	0.01715363
d2d4 b7b6 c2c4 c8b7 b1c3 e7e5	3111049	0.57530347
d2d4 b8a6	0	0.00000000
d2d4 b8c6	8175927	0.00762319
d2d4 b8c6 c2c4 e7e5 d4d5 c6d4	559586	0.56661945
d2d4 b8c6 c2c4 e7e5 d4d5 c6e7	559586	0.56661945
d2d4 b8c6 c2c4 e7e5 d4e5 c6e5 b1c3 e5c4	59761	0.06051214
d2d4 b8c6 d4d5 c6b8	142674	0.11151111
d2d4 b8c6 d4d5 c6b8 e2e4 g8f6 e4e5 f6g8	39857	0.27877876
d2d4 c7c5	37822796	0.03526577
d2d4 c7c5 b2b4	0	0.00000000
d2d4 c7c5 c2c4 c5d4 e2e3	93047	0.03978939
d2d4 c7c5 d4c5	7867706	0.20829177
d2d4 c7c5 d4c5 b7b6	136426	0.01736787
d2d4 c7c5 d4c5 b8a6	97290	0.01238562
d2d4 c7c5 d4d5	12962192	0.34316457
d2d4 c7c5 d4d5 b8a6	0	0.00000000
d2d4 c7c5 d4d5 d7d6	4822510	0.37245220
d2d4 c7c5 d4d5 d7d6 b1c3 g7g6	326353	0.06769481
d2d4 c7c5 d4d5 e7e5	1595626	0.12323342
d2d4 c7c5 d4d5 e7e5 e2e4 d7d6	352249	0.22083843
d2d4 c7c5 d4d5 f7f5	123398	0.00953028
d2d4 c7c5 d4d5 f7f5 e2e4	8916	0.07229854
d2d4 c7c5 d4d5 g8f6	2400758	0.18541540
d2d4 c7c5 d4d5 g8f6 b1c3 d8a5	404606	0.16859686
d2d4 c7c5 d4d5 g8f6 g1f3	65431	0.02726470
d2d4 c7c5 g1f3 c5d4 b2b4	0	0.00000000
d2d4 c7c5 g1f3 c5d4 b2b4 e7e5	0	0.00000000
d2d4 c7c6 c2c4 d7d6	1375784	0.10147551
d2d4 c7c6 g1f3 g8f6 c2c4 b7b5	147725	0.20135074
d2d4 d7d5	473760443	0.44173162
